O*NET-SOC Code,Title,_key,structured_codifiable_work,cognitive_complexity,physical_embodiment,social_emotional_intelligence,creativity_innovation,decision_impact_accountability,automation_potential,overall_score,rationale,scored_at
11-3071.00,"Transportation, Storage, and Distribution Managers","11-3071.00||Transportation, Storage, and Distribution Managers",3.6,3.8,1.4,3.2,2.8,4.2,Medium,3.4,"Transportation, storage, and distribution management includes many structured, data-driven activities (routing, scheduling, inventory/throughput tracking, compliance documentation) that are amenable to optimization software and AI decision support. However, the role also requires contextual judgment under uncertainty (disruptions, supplier/carrier performance, labor constraints) and cross-functional tradeoffs that are harder to fully automate. Physical embodiment is relatively low because most work is digital/coordination-based, though it interfaces with physical operations. Social skills remain important for negotiating with carriers, managing teams, and resolving service failures, and accountability is high due to safety, regulatory compliance, and cost/service impacts. Overall, AI can automate/augment planning, forecasting, exception detection, and reporting, while humans remain critical for escalation handling, stakeholder alignment, and high-stakes decisions.",2026-02-27T06:22:50.721524
11-3071.04,Supply Chain Managers,11-3071.04||Supply Chain Managers,3.8,4.1,1.6,3.6,3.2,4.4,Medium,3.4,"Supply Chain Managers work with many structured processes (planning, purchasing, inventory, warehousing, distribution) that are measurable and increasingly data-driven, making forecasting, reporting, exception detection, and optimization highly augmentable by AI. However, the role also requires complex cross-functional judgment under uncertainty (demand shocks, supplier risk, capacity constraints) and trade-offs among cost, service, and safety that are not fully codifiable. Social influence is important for vendor negotiations, stakeholder alignment, and change management, where trust and context matter and automation is weaker. Physical presence is sometimes needed for site visits and operational oversight, but much of the work is digital/analytical. High accountability and operational risk (stockouts, compliance, safety, financial impact) typically keep final decisions and escalation handling human-led even as AI automates routine planning and monitoring.",2026-02-27T06:22:56.510229
11-3111.00,Compensation and Benefits Managers,11-3111.00||Compensation and Benefits Managers,3.6,3.8,1.1,3.4,2.6,4.2,Medium,3.4,"Compensation and Benefits Managers work includes many structured, data-driven processes (job leveling, salary bands, benefits administration, compliance reporting) that are increasingly codifiable and automatable with HRIS, analytics, and AI-assisted benchmarking. However, the role also requires contextual judgment about internal equity, labor market dynamics, and organizational strategy, which raises cognitive complexity and limits full automation. Social and emotional skills matter for stakeholder management, negotiation with leadership/vendors, and communicating sensitive pay/benefits decisions, where trust and nuance are important. Physical embodiment is minimal, making digital automation feasible for large portions of analysis and documentation. High decision impact and accountability (legal compliance, discrimination risk, retention, budget) mean humans typically remain responsible for final approvals, policy choices, and exception handling even if AI automates analysis and drafting.",2026-02-27T06:23:01.282147
11-3121.00,Human Resources Managers,11-3121.00||Human Resources Managers,3.2,4.0,1.2,4.4,2.8,4.3,Medium,3.0,"HR Managers perform a mix of standardized, codifiable processes (policy administration, compliance tracking, reporting, recruiting workflows) and highly context-dependent work (employee relations, performance issues, organizational change). Many administrative and analytics-heavy components are amenable to automation/augmentation via HRIS, AI screening support, document generation, and compliance monitoring. However, the role relies heavily on trust-building, conflict resolution, negotiation, and nuanced judgment in sensitive situations, which strongly resists full automation. Decision stakes are often high (legal exposure, reputational risk, equity/fairness concerns), increasing the need for accountable human oversight. Overall, AI can significantly augment efficiency and consistency, but end-to-end automation is limited by interpersonal complexity and accountability.",2026-02-27T06:23:06.192664
11-3131.00,Training and Development Managers,11-3131.00||Training and Development Managers,3.4,3.8,1.3,4.2,3.2,3.9,Medium,3.2,"Training and Development Managers do a mix of structured work (needs assessments, scheduling, compliance tracking, reporting) and less-codifiable work (aligning programs to strategy and culture). Many components are highly augmentable by AI—content drafting, curriculum outlines, quiz generation, analytics on learning data, and administrative coordination—especially in digital learning environments. However, the role relies heavily on stakeholder management, coaching, influence, and change management to drive adoption and behavior change, which requires trust and nuanced communication. Decisions can be moderately high-stakes (compliance, safety, workforce readiness), increasing the need for human accountability and oversight. Overall, automation is best as copilots and workflow tools rather than full replacement, with humans remaining critical for strategy, buy-in, and governance.",2026-02-27T06:23:11.756728
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers","11-9013.00||Farmers, Ranchers, and Other Agricultural Managers",3.2,4.1,3.6,3.4,3.3,4.4,Medium,3.1,"Agricultural management includes many structured components (scheduling, inventory, compliance paperwork, budgeting, and yield tracking) that are increasingly codifiable and can be augmented by farm management software and AI forecasting. However, the role requires substantial contextual judgment under uncertainty (weather, pests/disease, market volatility, equipment failures), raising cognitive complexity and limiting full automation. Physical embodiment remains meaningful because operations often require on-site inspection, coordination of fieldwork, and responding to real-world conditions, though some sensing/robotics can reduce this. Social and emotional skills matter for hiring, supervising crews, negotiating with suppliers/buyers, and maintaining trust in local communities, which are only partially automatable. Decision impact is high due to financial risk, safety, animal welfare, and regulatory accountability, so humans typically remain responsible even when AI provides recommendations.",2026-02-27T06:23:16.876295
11-9021.00,Construction Managers,11-9021.00||Construction Managers,3.4,4.2,3.6,4.3,3.0,4.6,Medium,3.1,"Construction management includes many structured components (scheduling, budgeting, procurement tracking, compliance documentation) that are amenable to AI-assisted planning, forecasting, and reporting. However, the role also requires high contextual judgment to resolve site-specific constraints, sequencing conflicts, safety risks, and change orders under uncertainty. Significant on-site presence and coordination are typically needed to verify progress/quality, manage subcontractors, and respond to real-world issues that are hard to fully digitize. Social influence, negotiation, and trust-building with owners, inspectors, trades, and crews are central and remain difficult to automate. Because decisions are high-stakes (safety, cost overruns, contractual liability), AI is more likely to augment managers than replace them end-to-end in the near term.",2026-02-27T06:23:21.382448
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare","11-9031.00||Education and Childcare Administrators, Preschool and Daycare",3.4,3.6,2.6,4.4,3.0,4.2,Medium,3.1,"This role includes many structured, codifiable components (scheduling, enrollment, billing support, compliance documentation, reporting) that are amenable to software and AI-driven automation. However, administrators regularly handle nuanced human situations—parent concerns, staff coaching, conflict resolution, and community trust-building—where social/emotional intelligence is central and hard to automate. The work also involves some on-site presence for supervision, safety, and facility oversight, limiting full automation even if back-office tasks are digitized. Decision-making carries meaningful accountability (child safety, licensing compliance, staffing ratios, incident response), which tends to keep humans in the loop even when AI provides recommendations. Overall, AI can substantially augment operations and paperwork, but core leadership, relationship management, and high-stakes judgment remain human-critical.",2026-02-27T06:23:25.990601
11-9032.00,"Education Administrators, Kindergarten through Secondary","11-9032.00||Education Administrators, Kindergarten through Secondary",3.2,4.1,2.4,4.6,3.3,4.7,Medium,2.9,"Many administrative components (scheduling, reporting, compliance documentation, budgeting support, communications drafts, data dashboards) are structured enough for substantial AI augmentation. However, the role requires high contextual judgment across student needs, staff performance, community expectations, and evolving policy constraints, which raises cognitive complexity and limits end-to-end automation. Social trust-building, conflict resolution, and sensitive conversations with students, parents, and staff are central and remain difficult to automate reliably. While the job is not highly physical, it often requires on-site presence for supervision, safety, and real-time incident response. High-stakes accountability (student safety, legal compliance, equity, disciplinary actions) further constrains autonomous AI decision-making, making the occupation best suited to partial automation rather than replacement.",2026-02-27T06:23:30.812565
11-9033.00,"Education Administrators, Postsecondary","11-9033.00||Education Administrators, Postsecondary",3.2,4.1,1.4,4.3,3.4,4.5,Medium,2.9,"Postsecondary education administrators do a mix of standardized administrative work (scheduling, reporting, compliance documentation, budgeting support) and high-judgment leadership (policy interpretation, strategic planning, personnel decisions, and handling sensitive student/faculty issues). Many back-office components are highly augmentable by AI—drafting communications, summarizing regulations, analyzing enrollment/retention data, forecasting budgets, and automating workflow routing—raising automation feasibility for routine tasks. However, the role relies heavily on trust-building, negotiation, conflict resolution, and institutional politics, which are difficult to automate reliably. Decision-making is high-stakes and accountable (accreditation, legal/regulatory compliance, equity considerations, disciplinary actions), limiting end-to-end automation and requiring human oversight. Overall, AI is likely to substantially augment productivity and decision support, but not replace the core leadership and accountability functions in the near term.",2026-02-27T06:23:35.854035
11-9039.00,"Education Administrators, All Other","11-9039.00||Education Administrators, All Other",3.1,4.0,1.4,4.2,3.2,4.3,Medium,3.0,"This catch-all category spans varied administrative roles, but typically includes policy implementation, compliance, budgeting, scheduling, reporting, and stakeholder coordination. Many back-office components (data analysis, drafting communications/policies, documentation, scheduling, and monitoring KPIs/compliance checklists) are fairly structured and can be significantly automated or AI-augmented. However, the work often requires high-context judgment across competing constraints (students, staff, regulations, equity goals) and frequent negotiation and trust-building with parents, faculty, boards, and community partners, which limits full automation. Decision stakes are often high (student outcomes, legal compliance, personnel actions, safety), increasing the need for human accountability and oversight. Overall, AI can automate substantial administrative throughput, but humans remain critical for leadership, conflict resolution, ethical/regulatory judgment, and final decision-making.",2026-02-27T06:23:40.988015
11-9041.00,Architectural and Engineering Managers,11-9041.00||Architectural and Engineering Managers,3.2,4.4,1.3,4.2,3.6,4.6,Medium,3.1,"Architectural and engineering managers do a mix of standardized management work (planning, budgeting, reporting, scheduling) and high-judgment leadership (technical tradeoffs, risk management, stakeholder alignment). Many administrative and analytical components are codifiable and increasingly automatable (status reporting, resource forecasting, document drafting, requirements traceability, meeting notes, and KPI dashboards). However, the role requires substantial contextual reasoning across technical, regulatory, and organizational constraints, plus negotiation, coaching, and trust-building with clients, executives, and multidisciplinary teams. Decision stakes are often high (safety, compliance, cost/schedule overruns, reputational risk), which limits full automation and increases the need for accountable human sign-off. Overall, AI is well-suited to augment decision preparation and coordination, while humans remain critical for final decisions, accountability, and people leadership.",2026-02-27T06:23:46.163009
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,11-9041.01||Biofuels/Biodiesel Technology and Product Development Managers,3.2,4.4,2.3,3.6,4.0,4.3,Medium,3.2,"This role blends structured program management (planning, budgeting, reporting, milestone tracking) with complex technical judgment about feedstocks, process technologies, and commercialization pathways. AI can strongly augment literature/patent review, techno-economic modeling, experiment design suggestions, data analysis, documentation, and portfolio prioritization under defined criteria. However, high cognitive complexity and accountability remain due to uncertain R&D outcomes, safety/regulatory constraints, and high-cost decisions about scale-up and go/no-go gates. Social and cross-functional leadership (aligning scientists, engineers, vendors, and executives) is important and only partially automatable. Some physical embodiment persists via lab/pilot-plant oversight and real-world process validation, which limits full automation even if analytics are AI-assisted.",2026-02-27T06:23:50.996764
11-9051.00,Food Service Managers,11-9051.00||Food Service Managers,3.6,3.4,2.6,3.8,2.7,4.1,Medium,3.3,"Food service management includes many standardized, measurable processes (scheduling, inventory, ordering, compliance checklists, sales reporting) that are well-suited to software and AI optimization. However, the role also requires contextual judgment under uncertainty (handling service disruptions, staffing issues, customer complaints) and frequent people management, coaching, and conflict resolution that benefit from human presence. Some physical on-site oversight is typically needed to ensure food safety, quality, and operational execution, even if monitoring can be augmented with sensors and cameras. Decision stakes are moderate-to-high due to food safety, labor compliance, and brand/reputation risk, which tends to keep humans accountable for final calls. Overall, AI can automate/augment planning, forecasting, documentation, and routine decision support, while human managers remain critical for leadership, culture, and real-time incident handling.",2026-02-27T06:23:55.584119
