O*NET-SOC Code,Title,_key,structured_codifiable_work,cognitive_complexity,physical_embodiment,social_emotional_intelligence,creativity_innovation,decision_impact_accountability,automation_potential,overall_score,rationale,scored_at
11-3013.00,Facilities Managers,11-3013.00||Facilities Managers,3.2,3.8,2.6,3.4,2.7,4.2,Medium,3.3,"Facilities management includes many structured, codifiable components (preventive maintenance scheduling, work orders, vendor tracking, compliance documentation, budgeting) that are well-suited to software and AI-driven optimization. However, the role also requires contextual judgment across competing constraints (safety, uptime, cost, occupant needs) and handling novel incidents (equipment failures, emergencies), which raises cognitive complexity and limits full automation. Physical presence is often needed for inspections, coordinating on-site work, and verifying conditions, though some of this can be reduced via sensors, cameras, and contractor reporting. Significant interpersonal work—negotiating with vendors, coordinating internal stakeholders, and managing occupant expectations—remains human-critical. High accountability for safety, regulatory compliance, and operational continuity means AI is more likely to augment planning, monitoring, and documentation than replace decision ownership.",2026-02-24T07:17:05.910350
11-3013.01,Security Managers,11-3013.01||Security Managers,3.2,4.0,2.8,3.8,2.7,4.4,Medium,3.1,"Security Managers perform a mix of standardized work (policy enforcement, incident reporting, compliance checklists) and context-heavy judgment (risk assessment, threat response planning), making automation feasible for parts but not end-to-end. Many analytical components—monitoring dashboards, log review, anomaly detection, drafting policies, scheduling, and documentation—are highly augmentable by AI. However, the role often requires on-site coordination with facilities and staff, managing vendors/guards, and responding to evolving incidents where situational awareness and accountability are critical. Significant interpersonal work (training, persuasion, de-escalation, and trust-building with leadership and employees) remains human-centric. High stakes and liability in safety/security decisions limit full automation, favoring decision support rather than autonomous control.",2026-02-24T07:17:11.120412
11-3021.00,Computer and Information Systems Managers,11-3021.00||Computer and Information Systems Managers,3.2,4.2,1.2,4.1,3.3,4.4,Medium,3.1,"Computer and Information Systems Managers do a mix of structured work (budgeting, reporting, project tracking, compliance) and less-codifiable leadership work (prioritization, stakeholder alignment, risk tradeoffs). Many planning and coordination tasks can be heavily augmented by AI—e.g., generating status reports, analyzing logs/metrics, drafting policies, forecasting capacity, and supporting project management and vendor comparisons. However, the role requires substantial contextual judgment and accountability for high-impact decisions (security, outages, major spend, regulatory exposure), which limits full automation. Social influence, negotiation, and trust-building across executives, teams, and vendors remain human-critical, especially during incidents and organizational change. Overall, AI is likely to automate/streamline significant portions of analysis and documentation, while humans retain responsibility for strategy, people leadership, and final decision-making.",2026-02-24T07:17:17.526729
11-3031.00,Financial Managers,11-3031.00||Financial Managers,3.6,4.2,1.2,3.4,3.0,4.6,Medium,3.4,"Financial managers work is partly standardized (budgeting, reporting, forecasting, compliance) and therefore amenable to automation via analytics, anomaly detection, and automated reporting. However, the role also requires high contextual judgment in capital allocation, risk tradeoffs, and interpreting ambiguous market/business signals, which raises cognitive complexity and limits full automation. Much of the work is digital with low physical requirements, but it involves stakeholder management, persuasion, and trust-building with executives, auditors, and regulators. Decision stakes are high (material financial impact, regulatory exposure), so accountability and governance needs keep humans in the loop even when AI produces recommendations. The most automatable components are routine financial analysis, variance explanations, dashboarding, and first-draft policies; the most human-critical are strategic decisions, ethical/regulatory judgment, and leadership/coordination across teams.",2026-02-24T07:17:23.249595
11-3031.01,Treasurers and Controllers,11-3031.01||Treasurers and Controllers,3.6,4.2,1.1,3.4,2.6,4.7,Medium,3.2,"Treasurers and controllers do substantial structured work (reporting, forecasting, cash management routines, controls) that can be automated with modern ERP, analytics, and AI-assisted reconciliation and anomaly detection. However, the role also requires high contextual judgment around liquidity, capital structure, risk management, and interpreting ambiguous signals from markets and the business, which limits full automation. Social influence is material: coordinating with executives, auditors, banks, and regulators involves negotiation, trust, and explaining tradeoffs. Physical requirements are minimal, making digital augmentation easy, but accountability and stakes are high (compliance, solvency, fraud risk), keeping humans in the loop for approvals and governance. Overall, many workflows can be automated/augmented, while final decisions, policy setting, and stakeholder management remain human-critical.",2026-02-24T07:17:28.294666
11-3031.03,Investment Fund Managers,11-3031.03||Investment Fund Managers,3.2,4.4,1.1,4.0,3.6,4.8,Medium,3.1,"Investment fund management includes many codifiable components (data gathering, screening, portfolio optimization, risk analytics, reporting, compliance checks) that are highly amenable to AI automation/augmentation. However, the role also requires high-level judgment under uncertainty, regime shifts, and incomplete information, keeping cognitive complexity high and limiting full automation. Relationship management with clients/investment committees, persuasion, and trust-building are central in many settings and remain difficult to automate reliably. The work is largely digital (low physical embodiment), but decision stakes are very high due to fiduciary duty, regulatory scrutiny, and large financial consequences, which increases the need for human accountability and oversight. Overall, AI can automate substantial analysis and operational workflow, while humans remain critical for final risk-taking decisions, governance, and stakeholder management.",2026-02-24T07:17:33.702447
11-3051.00,Industrial Production Managers,11-3051.00||Industrial Production Managers,3.6,3.8,2.4,3.4,2.6,4.2,Medium,3.4,"Industrial Production Managers perform many structured, data-driven activities (scheduling, KPI tracking, inventory/resource planning, quality and cost monitoring) that are increasingly codifiable and amenable to AI/optimization tools. However, the role also requires contextual judgment under uncertainty (equipment failures, supply disruptions, shifting priorities) and coordination across functions, which limits full automation. Physical presence is sometimes needed for floor oversight, safety, and rapid response, though much work is digital and can be augmented by sensors/MES/ERP systems. Social and leadership demands (supervising teams, resolving conflicts, negotiating tradeoffs with engineering/quality/maintenance) remain human-critical. High accountability for safety, compliance, and production outcomes raises the bar for autonomous decision-making, making augmentation more likely than end-to-end automation.",2026-02-24T07:17:39.408001
11-3051.01,Quality Control Systems Managers,11-3051.01||Quality Control Systems Managers,3.8,3.6,1.6,3.2,2.6,4.2,Medium,3.4,"Quality Control Systems Managers work includes many standardized, measurable elements (SPC metrics, audits, CAPA workflows, documentation), which are well-suited to automation and AI-assisted monitoring and reporting. However, the role also requires contextual judgment to interpret ambiguous signals, balance cost/risk tradeoffs, and tailor quality systems to specific processes, suppliers, and regulatory environments. Physical presence is sometimes needed for plant/lab walk-throughs and investigations, but much of the coordination and analysis is digital and can be augmented by AI. Social skills matter for influencing production, negotiating corrective actions, and leading cross-functional quality culture initiatives. High accountability and compliance stakes limit full automation; AI can draft policies, detect anomalies, and recommend actions, while humans remain critical for final decisions, sign-off, and handling novel or high-risk incidents.",2026-02-24T07:17:44.459255
11-3051.02,Geothermal Production Managers,11-3051.02||Geothermal Production Managers,3.8,3.6,3.2,2.6,2.4,4.4,Medium,3.3,"Geothermal production management includes many standardized, measurable activities (monitoring KPIs, compliance checks, maintenance scheduling, alarm response), which are amenable to automation via SCADA analytics, predictive maintenance, and workflow tools. However, the role also requires contextual technical judgment during abnormal conditions, tradeoffs between output, equipment health, and safety, and coordination across operations and maintenance teams. Physical presence is often needed for inspections, troubleshooting, and overseeing field work, limiting full automation even if digital monitoring is highly augmentable. Decision impact is high due to safety, environmental compliance, and grid reliability, so human accountability and sign-off remain critical. AI can automate data analysis, anomaly detection, reporting, and parts of planning, while humans remain essential for incident command, safety culture, regulatory responsibility, and complex operational decisions.",2026-02-24T07:17:50.387731
11-3051.03,Biofuels Production Managers,11-3051.03||Biofuels Production Managers,3.6,3.8,3.2,3.0,2.8,4.2,Medium,3.4,"Biofuels production management includes many structured, measurable activities (tracking yields, downtime, quality metrics, maintenance schedules) that are amenable to automation via MES/SCADA analytics, anomaly detection, and automated reporting. However, diagnosing process upsets and designing corrective actions often requires contextual engineering judgment, integrating sensor data with tacit knowledge about equipment condition, feedstock variability, and safety constraints. The role also involves on-site oversight and coordination with operators, maintenance, and EHS, which limits full automation due to physical presence and human leadership needs. Decision stakes are relatively high (safety, environmental compliance, product quality, throughput), so organizations will keep humans accountable even if AI provides recommendations. Overall, AI can strongly augment monitoring, optimization suggestions, documentation, and scheduling, while humans remain critical for safety-critical decisions, incident response, and cross-team management.",2026-02-24T07:17:56.432486
11-3051.04,Biomass Power Plant Managers,11-3051.04||Biomass Power Plant Managers,3.6,3.8,2.7,3.2,2.4,4.4,Medium,3.2,"Biomass power plant management includes many standardized, measurable activities (scheduling, compliance reporting, maintenance planning, KPI tracking) that are amenable to software and AI-driven optimization, raising codifiability. However, the role requires contextual operational judgment under variable conditions (fuel quality variability, equipment degradation, outages), which limits full automation. Physical presence is often needed for walkdowns, safety oversight, and coordination during maintenance or incidents, though remote monitoring can reduce this. Significant human involvement remains critical for leadership, safety culture, labor supervision, and regulatory/accountability decisions where errors can have high safety, environmental, and financial consequences. Overall, AI can strongly augment monitoring, forecasting, documentation, and decision support, but end-to-end autonomous management is constrained by safety-critical accountability and on-site realities.",2026-02-24T07:18:01.758094
11-3051.06,Hydroelectric Production Managers,11-3051.06||Hydroelectric Production Managers,3.6,4.0,2.8,3.0,2.4,4.6,Medium,3.2,"Hydroelectric production management includes many structured, measurable activities (monitoring SCADA data, compliance checks, maintenance scheduling) that are amenable to automation and AI-driven decision support. However, the role also requires high contextual judgment for abnormal conditions, outage planning, safety tradeoffs, and coordination with grid operators and regulators, which raises cognitive complexity and limits full automation. Physical presence is sometimes required for inspections, lockout/tagout oversight, and incident response, though much routine monitoring can be remote. The stakes are high (public safety, environmental compliance, grid reliability), so accountability and risk management keep humans in the loop even if AI handles forecasting, anomaly detection, and optimization recommendations.",2026-02-24T07:18:06.592775
11-3061.00,Purchasing Managers,11-3061.00||Purchasing Managers,3.6,3.7,1.2,3.8,2.8,4.2,Medium,3.4,"Purchasing managers work includes many structured, data-driven activities (spend analysis, supplier comparisons, PO/workflow approvals, compliance checks) that are increasingly automatable with AI-enabled procurement suites. However, the role also requires contextual judgment around risk, total cost of ownership, and tradeoffs under changing market conditions, which limits full automation. Negotiation, relationship management, and internal stakeholder alignment demand social intelligence and trust-building that AI can support (drafting, scenario modeling) but not fully replace. Decision impact is often high due to budget responsibility, supply continuity, and regulatory/contractual exposure, keeping humans accountable for final approvals. Overall, AI is well-suited to augment sourcing analytics, contract review, forecasting, and routine approvals, while humans remain critical for strategy, escalations, and high-stakes supplier decisions.",2026-02-24T07:18:12.200648
11-3071.00,"Transportation, Storage, and Distribution Managers","11-3071.00||Transportation, Storage, and Distribution Managers",3.8,3.6,1.6,3.2,2.6,4.2,Medium,3.6,"Many core activities (routing, scheduling, inventory/warehouse optimization, carrier selection, compliance checks, KPI reporting) are structured and increasingly supported by optimization software and AI, making substantial portions automatable. However, the role requires contextual judgment under uncertainty (disruptions, capacity shocks, labor constraints) and cross-functional tradeoffs that are harder to fully codify. Human involvement remains important for vendor/customer negotiation, escalation handling, and leading teams through change, which depend on trust and organizational dynamics. Physical presence is not central, but on-site oversight and incident response can matter in some settings. High regulatory and safety/compliance stakes limit full automation and keep accountability with managers even when AI provides recommendations.",2026-02-24T07:18:17.728661
11-3071.04,Supply Chain Managers,11-3071.04||Supply Chain Managers,3.8,4.1,1.4,3.4,3.2,4.3,Medium,3.4,"Supply Chain Managers work with many structured processes (planning, purchasing, inventory, warehousing, distribution) that are increasingly data-driven and therefore amenable to optimization, forecasting, and workflow automation. However, the role also requires high contextual judgment under uncertainty (supplier disruptions, demand shocks, tradeoffs across cost/service/risk) and cross-functional decision-making that is harder to fully automate. Physical embodiment is low because most work is digital/coordination-based, though it interfaces with physical operations. Social skills matter for negotiating with suppliers, aligning stakeholders, and managing teams, and accountability is high due to financial, safety, and service-level impacts. AI can strongly automate analytics, forecasting, exception detection, and routine planning, while humans remain critical for strategic tradeoffs, relationship management, and high-stakes decisions during disruptions.",2026-02-24T07:18:22.722987
11-3111.00,Compensation and Benefits Managers,11-3111.00||Compensation and Benefits Managers,3.8,3.6,1.1,3.4,2.6,4.2,Medium,3.4,"Compensation and Benefits Managers work includes many structured, data-driven activities (market pricing, pay band administration, benefits enrollment oversight, compliance reporting) that are increasingly automatable with HRIS platforms and AI analytics. However, the role also requires contextual judgment on pay philosophy, internal equity tradeoffs, and aligning programs to business strategy, which raises cognitive complexity and limits full automation. Significant stakeholder management is typical (executives, managers, employees, unions/works councils), requiring negotiation, trust-building, and careful communication around sensitive topics. Decision impact is high due to legal/regulatory exposure (e.g., pay equity, ERISA/ACA where applicable), budget implications, and reputational risk, so humans remain accountable for final approvals. AI can strongly augment modeling, benchmarking, drafting policies/communications, and anomaly detection, while human-critical work centers on governance, ethical judgment, and high-stakes decisions.",2026-02-24T07:18:29.607866
11-3121.00,Human Resources Managers,11-3121.00||Human Resources Managers,3.2,3.8,1.2,4.4,3.0,4.2,Medium,3.1,"HR Managers perform a mix of standardized, data-driven work (policy administration, compliance tracking, reporting, recruiting workflows) and high-judgment people leadership (conflict resolution, performance management, culture, sensitive investigations). Many administrative and analytical components are increasingly automatable via HRIS platforms and AI (screening support, document generation, benefits Q&A, onboarding, workforce analytics), raising automation feasibility for routine tasks. However, the role relies heavily on trust-building, negotiation, coaching, and handling emotionally charged situations where nuance, credibility, and organizational context matter. Decision stakes are often high (legal/regulatory exposure, terminations, discrimination/harassment claims), which limits full automation and keeps humans accountable for final judgments. Overall, AI is likely to augment HR Managers substantially, but not replace the core interpersonal and accountability-heavy responsibilities.",2026-02-24T07:18:35.651392
11-3131.00,Training and Development Managers,11-3131.00||Training and Development Managers,3.2,3.8,1.3,4.1,3.4,3.9,Medium,3.3,"Training and Development Managers do a mix of structured work (needs assessments, scheduling, compliance training, tracking completion) and less-codifiable work (aligning programs to strategy and culture). Many components are highly automatable/augmentable: content drafting, curriculum mapping, LMS administration, analytics on skill gaps, personalized learning paths, and generating evaluation reports. However, the role relies heavily on stakeholder management, persuasion, coaching leaders, and building trust with employees—areas where human social judgment remains critical. Decisions can be moderately high-stakes (compliance, safety, workforce capability, budget allocation), increasing the need for human accountability and oversight. Overall, AI can substantially increase throughput and quality, but full automation is limited by organizational politics, change management, and responsibility for outcomes.",2026-02-24T07:18:40.654680
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers","11-9013.00||Farmers, Ranchers, and Other Agricultural Managers",3.2,4.1,3.8,3.4,3.3,4.4,Medium,3.1,"Many planning, recordkeeping, compliance, inventory, and scheduling tasks in agricultural management are structured enough to be automated or strongly AI-augmented (e.g., forecasting, budgeting, input optimization, documentation). However, the role requires substantial contextual judgment under uncertainty (weather, pests, market volatility), making full automation difficult and keeping cognitive complexity high. Physical embodiment remains significant because outcomes depend on real-world operations, equipment, and field conditions, even if sensors, drones, and robotics can reduce hands-on labor. Managing crews, contractors, and buyer/supplier relationships requires trust, negotiation, and local knowledge that AI can support but not fully replace. Decisions are high-stakes (financial risk, safety, animal welfare, regulatory liability), so humans typically retain accountability even when AI provides recommendations.",2026-02-24T07:18:45.994455
11-9021.00,Construction Managers,11-9021.00||Construction Managers,3.4,4.0,3.2,4.3,2.8,4.6,Medium,3.1,"Construction management includes many structured components (scheduling, budgeting, procurement tracking, compliance documentation) that are increasingly automatable with AI-enabled project controls and analytics. However, the role also requires high contextual judgment to resolve tradeoffs among cost, schedule, quality, safety, and changing site conditions, which limits full automation. Significant on-site presence and coordination are often needed to verify progress, manage subcontractors, and respond to physical constraints and safety issues. Social and emotional skills are central for negotiation, conflict resolution, and maintaining trust across owners, designers, inspectors, and trades. Because decisions are high-stakes (safety, contractual liability, regulatory compliance), AI is best positioned as decision support and automation of administrative/analytical tasks rather than end-to-end replacement.",2026-02-24T07:18:51.425228
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare","11-9031.00||Education and Childcare Administrators, Preschool and Daycare",3.4,3.6,2.2,4.4,2.8,4.3,Medium,3.1,"This role mixes codifiable administrative processes (enrollment, scheduling, compliance documentation, billing, reporting) with high-trust human work (staff leadership, parent relationships, child-safety culture). Many back-office tasks are amenable to automation/augmentation via AI systems for drafting communications, generating schedules, tracking ratios, monitoring budgets, and preparing licensing/audit materials. However, day-to-day leadership requires nuanced social judgment, conflict resolution, and credibility with families and staff, which is harder to automate. Accountability is high due to child safety, regulatory compliance, and reputational risk, limiting full automation and favoring human oversight for final decisions. Physical presence is sometimes needed for facility walkthroughs, incident response, and observing classrooms, though some monitoring can be supported digitally.",2026-02-24T07:18:56.853220
11-9032.00,"Education Administrators, Kindergarten through Secondary","11-9032.00||Education Administrators, Kindergarten through Secondary",3.2,4.2,2.4,4.6,3.4,4.7,Medium,2.9,"K–12 education administrators perform a mix of standardized administrative work (scheduling, reporting, compliance documentation, budgeting support) and highly context-dependent leadership. Many back-office components are codifiable and can be automated or strongly augmented by AI (drafting communications, analyzing attendance/achievement data, generating schedules, policy/document templates, procurement comparisons). However, the role relies heavily on trust-building, conflict resolution, staff coaching, parent/community engagement, and nuanced judgment in student discipline and equity-sensitive decisions, which are difficult to automate reliably. Physical presence is often required for supervision, safety incidents, and on-site coordination, though not highly manual. Because decisions carry significant legal, ethical, and reputational stakes (student welfare, compliance, personnel actions), AI is more suitable as decision support than as an autonomous decision-maker.",2026-02-24T07:19:02.381910
11-9033.00,"Education Administrators, Postsecondary","11-9033.00||Education Administrators, Postsecondary",3.2,4.1,1.4,4.2,3.3,4.4,Medium,3.0,"Postsecondary education administrators do a mix of standardized administrative work (scheduling, reporting, compliance documentation, policy implementation) and high-context leadership (strategy, resource allocation, academic governance). Many back-office components are codifiable and can be automated or strongly augmented by AI (analytics dashboards, drafting communications/policies, workflow routing, enrollment and retention modeling). However, the role relies heavily on relationship management, negotiation, and trust-building with faculty, students, unions, boards, and external stakeholders, which is harder to automate. Decision-making is often high-stakes and accountable (accreditation, Title IX/FERPA compliance, budget and staffing, student outcomes), requiring human judgment, oversight, and sign-off. Overall, AI can substantially augment efficiency and decision support, but full automation is constrained by governance, accountability, and social complexity.",2026-02-24T07:19:07.988110
11-9039.00,"Education Administrators, All Other","11-9039.00||Education Administrators, All Other",3.1,4.0,1.4,4.3,3.2,4.4,Medium,3.0,"This catch-all category typically includes administrative leadership, policy implementation, compliance, budgeting, scheduling, reporting, and stakeholder coordination—many of which have standardized components that software and AI can automate or strongly augment. However, the role often requires high contextual judgment across competing constraints (students, staff, regulations, community expectations) and navigating ambiguous situations, which limits full automation. Social trust-building, conflict resolution, and sensitive personnel/student matters are central and remain human-critical. Decision stakes are often high (safety, equity, legal compliance, funding, reputational risk), increasing the need for accountable human oversight. AI is best suited for analytics, drafting communications/policies, workflow optimization, and compliance monitoring, while humans retain final judgment, relationship management, and high-stakes decisions.",2026-02-24T07:19:14.647218
11-9041.00,Architectural and Engineering Managers,11-9041.00||Architectural and Engineering Managers,3.2,4.4,1.2,4.3,3.6,4.6,Medium,3.0,"Architectural and Engineering Managers do a mix of standardized management work (budgets, schedules, reporting, compliance) and high-context leadership (technical tradeoffs, risk management, stakeholder alignment). Many planning, documentation, status tracking, resource forecasting, and routine communications can be strongly augmented or partially automated by AI tools. However, the role requires deep domain judgment to evaluate designs, manage uncertainty, and make cross-functional decisions under constraints, which is harder to fully automate. It also depends heavily on trust-building, negotiation, coaching, and accountability for safety, quality, and regulatory outcomes. As a result, AI is likely to automate/accelerate substantial administrative and analytical portions, while humans remain critical for final decisions, people leadership, and high-stakes sign-off.",2026-02-24T07:19:19.795590
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,11-9041.01||Biofuels/Biodiesel Technology and Product Development Managers,3.2,4.4,2.2,3.6,4.1,4.3,Medium,3.3,"This role mixes structured program management (planning, budgeting, milestone tracking, documentation) with complex technical judgment about feedstocks, process technologies, scale-up risks, and commercial viability. AI can strongly augment literature review, patent/market scanning, experimental design suggestions, data analysis/modeling, reporting, and portfolio prioritization under defined criteria. However, high cognitive complexity remains in integrating uncertain lab/pilot results with real-world constraints (supply chains, regulatory pathways, plant operability) and making tradeoffs under ambiguity. Physical embodiment is moderate because work often depends on lab/pilot plant operations and safety/compliance oversight, which are harder to automate end-to-end. Human-critical elements include cross-functional leadership, stakeholder negotiation, accountability for high-stakes technical and investment decisions, and setting innovation direction.",2026-02-24T07:19:25.044862
11-9051.00,Food Service Managers,11-9051.00||Food Service Managers,3.6,3.4,2.2,3.8,2.6,3.9,Medium,3.3,"Food service management includes many structured, measurable activities (scheduling, inventory, ordering, compliance checklists, sales reporting) that are well-suited to software and AI optimization. However, the role also requires ongoing human judgment in handling staffing issues, customer complaints, and real-time operational disruptions, which raises social/emotional demands and contextual decision-making. Physical presence is often needed for floor oversight, quality control, and safety/hygiene enforcement, though not highly manual compared to kitchen roles. Creativity is moderate (menu/input to promotions and service improvements) but typically constrained by brand standards and cost targets. Accountability is meaningful due to food safety, labor compliance, and financial performance, making full automation unlikely; AI is best as decision support and workflow automation rather than a replacement.",2026-02-24T07:19:31.410703
