column_name,primary_attribute,confidence
Scheduling Work and Activities Importance_x,Uncategorized,Low
Scheduling Work and Activities Level_x,Uncategorized,Low
Selling or Influencing Others Importance_x,Uncategorized,Low
Selling or Influencing Others Level_x,Uncategorized,Low
Staffing Organizational Units Importance_x,Uncategorized,Low
Staffing Organizational Units Level_x,Uncategorized,Low
Thinking Creatively Importance_x,Cognitive Complexity,Medium
Thinking Creatively Level_x,Cognitive Complexity,Medium
Training and Teaching Others Importance_x,Uncategorized,Low
Training and Teaching Others Level_x,Uncategorized,Low
Updating and Using Relevant Knowledge Importance_x,Uncategorized,Low
Updating and Using Relevant Knowledge Level_x,Uncategorized,Low
Working with Computers Importance_x,Data Structure,High
Working with Computers Level_x,Data Structure,High
Analyzing Data or Information Importance_y,Data Structure,High
Analyzing Data or Information Level_y,Data Structure,High
Assisting and Caring for Others Importance_y,Social Interactions,High
Assisting and Caring for Others Level_y,Social Interactions,High
Coaching and Developing Others Importance_y,Uncategorized,Low
Coaching and Developing Others Level_y,Uncategorized,Low
Communicating with People Outside the Organization Importance_y,Uncategorized,Low
Communicating with People Outside the Organization Level_y,Uncategorized,Low
"Communicating with Supervisors, Peers, or Subordinates Importance_y",Uncategorized,Low
"Communicating with Supervisors, Peers, or Subordinates Level_y",Uncategorized,Low
Controlling Machines and Processes Importance_y,Uncategorized,Low
Controlling Machines and Processes Level_y,Uncategorized,Low
Coordinating the Work and Activities of Others Importance_y,Uncategorized,Low
Coordinating the Work and Activities of Others Level_y,Uncategorized,Low
Developing Objectives and Strategies Importance_y,Uncategorized,Low
Developing Objectives and Strategies Level_y,Uncategorized,Low
Developing and Building Teams Importance_y,Uncategorized,Low
Developing and Building Teams Level_y,Uncategorized,Low
Documenting/Recording Information Importance_y,Data Structure,High
Documenting/Recording Information Level_y,Data Structure,High
"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment Importance_y",Uncategorized,Low
"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment Level_y",Uncategorized,Low
Establishing and Maintaining Interpersonal Relationships Importance_y,Uncategorized,Low
Establishing and Maintaining Interpersonal Relationships Level_y,Uncategorized,Low
"Estimating the Quantifiable Characteristics of Products, Events, or Information Importance_y",Data Structure,High
"Estimating the Quantifiable Characteristics of Products, Events, or Information Level_y",Data Structure,High
Evaluating Information to Determine Compliance with Standards Importance_y,Data Structure,High
Evaluating Information to Determine Compliance with Standards Level_y,Data Structure,High
Getting Information Importance_y,Data Structure,High
Getting Information Level_y,Data Structure,High
"Guiding, Directing, and Motivating Subordinates Importance_y",Uncategorized,Low
"Guiding, Directing, and Motivating Subordinates Level_y",Uncategorized,Low
Handling and Moving Objects Importance_y,Physical Requirements,High
Handling and Moving Objects Level_y,Physical Requirements,High
"Identifying Objects, Actions, and Events Importance_y",Uncategorized,Low
"Identifying Objects, Actions, and Events Level_y",Uncategorized,Low
"Inspecting Equipment, Structures, or Materials Importance_y",Uncategorized,Low
"Inspecting Equipment, Structures, or Materials Level_y",Uncategorized,Low
Interpreting the Meaning of Information for Others Importance_y,Data Structure,High
Interpreting the Meaning of Information for Others Level_y,Data Structure,High
"Judging the Qualities of Objects, Services, or People Importance_y",Uncategorized,Low
"Judging the Qualities of Objects, Services, or People Level_y",Uncategorized,Low
Making Decisions and Solving Problems Importance_y,Cognitive Complexity,Medium
Making Decisions and Solving Problems Level_y,Cognitive Complexity,Medium
"Monitoring Processes, Materials, or Surroundings Importance_y",Uncategorized,Low
"Monitoring Processes, Materials, or Surroundings Level_y",Uncategorized,Low
Monitoring and Controlling Resources Importance_y,Uncategorized,Low
Monitoring and Controlling Resources Level_y,Uncategorized,Low
"Operating Vehicles, Mechanized Devices, or Equipment Importance_y",Uncategorized,Low
"Operating Vehicles, Mechanized Devices, or Equipment Level_y",Uncategorized,Low
"Organizing, Planning, and Prioritizing Work Importance_y",Uncategorized,Low
"Organizing, Planning, and Prioritizing Work Level_y",Uncategorized,Low
Performing Administrative Activities Importance_y,Uncategorized,Low
Performing Administrative Activities Level_y,Uncategorized,Low
Performing General Physical Activities Importance_y,Physical Requirements,High
Performing General Physical Activities Level_y,Physical Requirements,High
Performing for or Working Directly with the Public Importance_y,Uncategorized,Low
Performing for or Working Directly with the Public Level_y,Uncategorized,Low
Processing Information Importance_y,Data Structure,High
Processing Information Level_y,Data Structure,High
Providing Consultation and Advice to Others Importance_y,Uncategorized,Low
Providing Consultation and Advice to Others Level_y,Uncategorized,Low
Repairing and Maintaining Electronic Equipment Importance_y,Uncategorized,Low
Repairing and Maintaining Electronic Equipment Level_y,Uncategorized,Low
Repairing and Maintaining Mechanical Equipment Importance_y,Uncategorized,Low
Repairing and Maintaining Mechanical Equipment Level_y,Uncategorized,Low
Resolving Conflicts and Negotiating with Others Importance_y,Social Interactions,High
Resolving Conflicts and Negotiating with Others Level_y,Social Interactions,High
Scheduling Work and Activities Importance_y,Uncategorized,Low
Scheduling Work and Activities Level_y,Uncategorized,Low
Selling or Influencing Others Importance_y,Uncategorized,Low
Selling or Influencing Others Level_y,Uncategorized,Low
Staffing Organizational Units Importance_y,Uncategorized,Low
Staffing Organizational Units Level_y,Uncategorized,Low
Thinking Creatively Importance_y,Cognitive Complexity,Medium
Thinking Creatively Level_y,Cognitive Complexity,Medium
Training and Teaching Others Importance_y,Uncategorized,Low
Training and Teaching Others Level_y,Uncategorized,Low
Updating and Using Relevant Knowledge Importance_y,Uncategorized,Low
Updating and Using Relevant Knowledge Level_y,Uncategorized,Low
Working with Computers Importance_y,Data Structure,High
Working with Computers Level_y,Data Structure,High
Conflict Situations,Social Interactions,High
Consequence of Error,Decision Accountability,High
Contact With Others,Social Interactions,High
Coordinate or Lead Others in Accomplishing Work Activities,Uncategorized,Low
Deal With External Customers or the Public in General,Uncategorized,Low
"Dealing With Unpleasant, Angry, or Discourteous People",Uncategorized,Low
Dealing with Violent or Physically Aggressive People,Physical Requirements,High
Degree of Automation,Routine,High
"Determine Tasks, Priorities and Goals",Uncategorized,Low
E-Mail,Uncategorized,Low
Exposed to Contaminants,Uncategorized,Low
"Exposed to Cramped Work Space, Awkward Positions",Routine,High
Exposed to Disease or Infections,Uncategorized,Low
Exposed to Extremely Bright or Inadequate Lighting Conditions,Uncategorized,Low
Exposed to Hazardous Conditions,Uncategorized,Low
Exposed to Hazardous Equipment,Uncategorized,Low
Exposed to High Places,Uncategorized,Low
"Exposed to Minor Burns, Cuts, Bites, or Stings",Uncategorized,Low
Exposed to Radiation,Uncategorized,Low
"Exposed to Sounds, Noise Levels that are Distracting or Uncomfortable",Uncategorized,Low
Exposed to Very Hot or Cold Temperatures,Uncategorized,Low
Exposed to Whole Body Vibration,Uncategorized,Low
Face-to-Face Discussions with Individuals and Within Teams,Social Interactions,High
Freedom to Make Decisions,Decision Accountability,High
Frequency of Decision Making,Routine,Medium
Health and Safety of Other Workers,Uncategorized,Low
Impact of Decisions on Co-workers or Company Results,Decision Accountability,High
Importance of Being Exact or Accurate,Routine,High
Importance of Repeating Same Tasks,Uncategorized,Low
In an Enclosed Vehicle or Operate Enclosed Equipment,Uncategorized,Low
In an Open Vehicle or Operating Equipment,Uncategorized,Low
"Indoors, Environmentally Controlled",Uncategorized,Low
"Indoors, Not Environmentally Controlled",Uncategorized,Low
Level of Competition,Uncategorized,Low
"Outdoors, Exposed to All Weather Conditions",Uncategorized,Low
"Outdoors, Under Cover",Uncategorized,Low
Pace Determined by Speed of Equipment,Routine,High
Physical Proximity,Physical Requirements,High
Public Speaking,Uncategorized,Low
Spend Time Bending or Twisting Your Body,Uncategorized,Low
"Spend Time Climbing Ladders, Scaffolds, or Poles",Uncategorized,Low
Spend Time Keeping or Regaining Balance,Uncategorized,Low
"Spend Time Kneeling, Crouching, Stooping, or Crawling",Uncategorized,Low
Spend Time Making Repetitive Motions,Routine,High
Spend Time Sitting,Uncategorized,Low
Spend Time Standing,Physical Requirements,High
"Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls",Uncategorized,Low
Spend Time Walking or Running,Uncategorized,Low
Telephone Conversations,Uncategorized,Low
Time Pressure,Routine,High
"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets",Uncategorized,Low
"Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection",Uncategorized,Low
Work Outcomes and Results of Other Workers,Decision Accountability,High
Work With or Contribute to a Work Group or Team,Uncategorized,Low
Written Letters and Memos,Uncategorized,Low
